|,,,,,,,,,,,,,,,,,,,,,,,,,,MNAVA,,,LGONZALEZ,MORTEGA,JPEREZ,ARUIZ,SITURBE,IRUIZ,MVIZCAYA,NESTRADA,,TIPO DE MEMBRESÍAS,,,,,,,,,,,,
,CONCENTRADO DE VENTAS GLOBAL,,,,,,,,,,,,,,,,,TIPO DE MEMBRESÍAS,,,,,,,,"$820,550.00",,,"$542,656.00","$1,178,636.00","$685,807.40","$600,950.00","$788,059.00","$712,450.00","$14,240.00","$120,806.00",,BASICA,,EMPRENDEDOR,,,PREMIER,SIEM,,,,,,
4,,1,6/1/2026,7/1/2025,,AF-6115,,12772,JOSE CHAVEZ RUIZ E HIJOS,,,"$3,200.00",Transf,1,,MNAVA,MEMBRESIA,EMPRENDEDOR,"$3,200.00","AV CONSTITUYENTES PONIENTE #49 COL CIMATARIO, QUERETARO, QRO. ",ENE,JCR680921L80,llanteraqueretanaqro@hotmail.com,,4422121389,GERARDO ALBARRAN,,,COMERCIO,LLANTERA QUERETANA,,,"AV CONSTITUYENTES PONIENTE #49 COL CIMATARIO, QUERETARO, QRO. ",,,,,,,,,,afiliado,,,,,,,
5,,1,7/1/2026,8/1/2025,,AF-6132,,12778,MARIA DOLORES HERNANDEZ FRANCO,,,$640.00,Transf,1,,MNAVA,SIEM, ,$640.00,"ANTONIO PEREZ ALCOCER #63 COL ENSUEÑO, QUERETARO, QRO.",ENE,HEFD7006198A1,mariadomail6@gmail.com,,4422645681,MARIA DOLORES HERNANDEZ,,,SERVICIOS,CONSULTORIOS SAN FRANCISCO,,,"ANTONIO PEREZ ALCOCER #63 COL ENSUEÑO, QUERETARO, QRO.",,,,,,,,,,afiliado,,,,,,,
6,,1,5/1/2026,6/1/2025,,AF-6092,,14414,MENDOZA PIMENTEL CUSTODIO,,,"$2,800.00",Transf,1,,LGONZALEZ,MEMBRESIA,BASICA,"$2,800.00","CALLE 27 #2209 FRATERNIDAD DE SANTIAGO, QUERETARO, QRO. 76085",ENE,MEPC820803HD4,fenixtransmisiones@outlook.com,,4424230416,CUSTODIO MENDOZA PIMENTEL,,,COMERCIO,TALLER DE TRANSMISIONES,,,,,,,,,,,,,afiliado,,,,,,,
7,,1,8/1/2026,9/1/2025,,AF-6136,,14418,VERSAFLEX QUERETARO SA DE CV,,,"$4,990.00",Transf,1,,LGONZALEZ,MEMBRESIA,EMPRENDEDOR,"$4,990.00","PRINEOS 515 BODEGA 12 FRACC. INDUSTRIAL BENITO JUAREZ, QUERATRO, QRO. 76120",ENE,VQU040820K65,admonistracion@lonasversaflex.com,,"4422163848/
4421819434",IVONNE NIEVES,,,COMERCIO,VENTA DE LONAS,,,,,,,,,,,,,afiliado,,,,,,,
8,,1,9/1/2026,10/1/2025,,AF-6002,,12672,CLEANING BRANDS DEL BAJIO S.A. DE C.V.,,,"$3,990.00",Transf,1,,LGONZALEZ,MEMBRESIA,EMPRENDEDOR,"$3,990.00","CALLE HERNAN CORTES 6874, COL. FRANCISCO SARABIA, ZAPOPAN, JAL.",ENE,CBB150724294,ventas@cleaning-brands.com,,4425430253,LIC. MIGUEL ANGEL TINAJERO,,,COMERCIO,VENTA DE PRODUCTOS DE LIMPIEZA,,,,,,,,,,,,,afiliado,,,,,,,
9,,1,2/1/2026,3/1/2025,,AF-6081,,14537,BIMBO SA DE CV,,,$990.00,Efe,1,,LGONZALEZ,MEMBRESIA,MEMBRESIA SIEM,$990.00,"MIMOSAS #117, SANTA MARIA INSURGENTES DEL CUAUTHEMOC, CDMX. 0643",ENE,BIM011108DJ5,yareli.muñoz@grupobimbo.com,,7714340959,YARELI MUÑOZ,,,COMERCIO,VENTA PAN DE CAJA,,,,,,,,,,,,,afiliado,,,,,,,
10,,1,9/1/2026,10/1/2025,,AF-6243,,14428,BP ESTACIONES DE SERVICIOS ENERGETICOS SA DE CV,,,$640.00,TC,1,,LGONZALEZ,SIEM, ,$640.00,AV SANTA FE 505 PISO 10 COL. CRUZ MANCA. 05649,ENE,BES160503J91,ameasys@csma.com.mx,,5558933692,MIGUEL ANGEL PATIÑO ,,,COMERCIO,GASOLINERA,,,,,,,,,,,,,afiliado,,,,,,,
11,,1,2/1/2026,3/1/2025,,AF-6085,,14518,MA. DE LA LUZ ESPINOZA MURILLO,,,"$6,900.00",Transf,1,,MORTEGA,MEMBRESIA,VISIONARIO,"$6,900.00","CALLE FRANCISCO VILLA #32, COL. STA. CATARINA, QUERETARO,QRO.",ENE,EIML750104D56,luz_espinosa1@yahoo.com.mx,,,MA DE LA LUZ MURILLO,,,COMERCIO,ARTICULOS DE BELLEZA,,,"CALLE FRANCISCO VILLA #32, COL. STA. CATARINA, QUERETARO,QRO.",,,,,,,,,,afiliado,,,,,,,
12,,1,5/1/2026,6/1/2025,,AF-6089,,14520,KENWORTH DEL BAJIO SA DE CV,,,"$17,400.00",Transf,1,,MORTEGA,MEMBRESIA,PREMIER,"$17,400.00","CARRETERA QUERETARO MEXICO, KM 204, SAN ISIDRO MIRANDA, EL MARQUES, 76209",ENE,HCP1707286E4,rmejia@kenworthajio.com.mx,,4422774086,LIC. RODRIGO MOYA,,,COMERCIO,VENTA DE TRANSPORTES,,,"CARRETERA QUERETARO MEXICO, KM 204, SAN ISIDRO MIRANDA, EL MARQUES, 76209",,,,,,,,,,afiliado,,,,,,,
13,,1,5/1/2026,6/1/2025,,AF-6090,,14522,ASOCIACION GANADERA LOCAL DE QUERETARO,,,"$8,900.00",Transf,1,,MORTEGA,MEMBRESIA,VISIONARIO,"$8,900.00","PLATEROS #22, COL. CARRETAS, 76050",ENE,AGL570905355,,,4422132391,ALEJANDRO,,,SERVICIOS,OFICINAS ADMINISTRATIVAS,,,"PLATEROS #22, COL. CARRETAS, 76050",,,,,,,,,,afiliado,,,,,,,
14,,1,6/1/2026,7/1/2025,,AF-6151,,14551,CONSUMOS Y SURTIDOS PARA LA CONSTRUCCION,,,"$4,500.00",Transf,1,,MORTEGA,MEMBRESIA,EMPRENDEDOR,"$4,500.00","GUAYAKIRI #624, NAVE 9 COL LOMA BONITA, QUERETARO, QRO. 76118.",ENE,CSC931026M35,consurtidos@hotmail.com,,4422186840,LIC. ANTONIO,,,COMERCIO,VENTA DE EQUIPO PARA CONSTRUCCION,,,"GUAYAKIRI #624, NAVE 9 COL LOMA BONITA, QUERETARO, QRO. 76118.",,,,,,,,,,afiliado,,,,,,,
15,,1,6/1/2026,7/1/2025,,AF-6109,,14553,HC PROMEDICAL SA DE CV,,,$640.00,TC,1,,MORTEGA,SIEM, ,$640.00,"AV EL PORVENIR SA DE CV, COL EL PROVENIR, QUERETARO, QRO.",ENE,HCP1707286E4,iandrade@hcpromedical.com,,4423182571,IGNACIO ANDRADE,,,COMERCIO,VENTA DE EQUIPO MEDICO,,,"AV EL PORVENIR SA DE CV, COL EL PROVENIR, QUERETARO, QRO.",,,,,,,,,,afiliado,,,,,,,
16,,1,7/1/2026,8/1/2025,,AF-6129,,14554,MACRO DISTRIBUIDORA ELECTRICA MRJ SA DE CV,,,"$10,230.00",Transf,1,,MORTEGA,MEMBRESIA,PREMIER,"$10,230.00","CALLE TONANZI #18 CUMBRES DE CONIN 3A SECCION, MARQUES QUERETARO, 76246",ENE,MDE120612LD8,recursoshumanos@macro_MRJ.com,,4422179119,LIC. ANTONIO PEREZ,,,COMERCIO,MATERIAL ELECTRICO,,,"CALLE TONANZI #18 CUMBRES DE CONIN 3A SECCION, MARQUES QUERETARO, 76246",,,,,,,,,,afiliado,,,,,,,
17,,1,7/1/2026,8/1/2025,,AF-6130,,14555,MACRO DISTRIBUIDORA ELECTRICA MRJ SA DE CV,,,"$10,230.00",Transf,1,,MORTEGA,MEMBRESIA,PREMIER,"$10,230.00","CALLE TONANZI #18 CUMBRES DE CONIN 3A SECCION, MARQUES QUERETARO, 76246",ENE,MDE120612LD8,recursoshumanos@macro_MRJ.com,,4422179119,LIC. ANTONIO PEREZ,,,COMERCIO,MATERIAL ELECTRICO,,,"CALLE TONANZI #18 CUMBRES DE CONIN 3A SECCION, MARQUES QUERETARO, 76246",,,,,,,,,,afiliado,,,,,,,
18,,1,6/1/2026,7/1/2025,,PG-436,,14476,JOSE JUAN OLVERA NUÑEZ,,,$150.00,Efe,,1,JPEREZ,SIEM, ,$150.00,"TECNICOS #5, COL. PEÑUELAS. 76148",ENE,OEMJ750225D96,josejuanolvera66@gmail.com,,4421298552,JUAN A GUERRERO,,,COMERCIO,TALLER MECANICO,,,,,,,,,,,,,afiliado,,,,,,,
19,,1,6/1/2026,7/1/2025,,PG-436,,14478,MARITZA DELFINA LARA TORRES,,,$150.00,Efe,1,,JPEREZ,SIEM, ,$150.00,"DIAMANTE #302, COL. SAN PEDRITO PEÑUELAS. 76148",ENE,LUTM850622QG0,carlos_luna7@live.com,,4421718929,ALEJANDRA MARTINEZ,,,COMERCIO,FARMACIA,,,,,,,,,,,,,afiliado,,,,,,,
20,,1,6/1/2026,7/1/2025,,AF-6121,,14477,LLAVANTE,,,$300.00,Efe,,1,JPEREZ,SIEM, ,$300.00,"PLATEROS #195, COL. SAN PEDRITO PEÑUELAS. 76148",ENE,LAV981026JIA,avanteplateros@gmail.com,,5584314668,MARIO VILLAFAÑA,,,COMERCIO,VENTA DE LLANTAS,,,,,,,,,,,,,afiliado,,,,,,,
21,,1,7/1/2026,8/1/2025,,PG-439,,14485,MARIA FERNANDA  GARCIA RIOS,,,$100.00,Efe,,1,JPEREZ,SIEM, ,$100.00,"PLATEROS #201, COL. SAN PEDIRTO PEÑUELAS. 76148",ENE,GARF020127,mgarciarico7@gmail.com,,4462187072,MARIA FERNANDA GARCIA,,,COMERCIO,FRUTERIA,,,,,,,,,,,,,afiliado,,,,,,,
22,,1,7/1/2026,8/1/2025,,PG-439,,14486,MARISSA GUILLEN SANCHEZ,,,$150.00,Efe,,1,JPEREZ,SIEM, ,$150.00,PLATEROS #221 COL. SAN PEDRITO PEÑUELAS. 76148,ENE,GUSM880301,maichita_152@hotmail.com,,4423615277,MARISSA GUILLEN,,,COMERCIO,DULCERIA,,,,,,,,,,,,,afiliado,,,,,,,
23,,1,7/1/2026,8/1/2025,,PG-439,,14487,OSVALDO MORALES SILVA,,,$150.00,Efe,,1,JPEREZ,SIEM, ,$150.00,"PLATEROS #42-6, COL. SAN PEDRITO PEÑUELAS. 76148",ENE,MOS0780516,cuarentero37@gmail.com,,4424313928,OSVALDO M.S,,,COMERCIO,ROSTICERIA,,,,,,,,,,,,,afiliado,,,,,,,
24,,1,7/1/2026,8/1/2025,,PG-439,,14489,PATRICIA LOPEZ MONTES,,,$100.00,Efe,,1,JPEREZ,SIEM, ,$100.00,,ENE,LOMP601102,ninfatanuzfl@hotmail.com,,4421700723,PATRICIA MONTES,,,COMERCIO,VENTA DE COMIDA,,,,,,,,,,,,,afiliado,,,,,,,
25,,1,7/1/2026,8/1/2025,,PG-439,,14490,JAVIER MARTINEZ RODRIGUEZ,,,$100.00,Efe,,1,JPEREZ,SIEM, ,$100.00,"PLATEROS #220, COL. SAN PEDRITO PEÑUELAS. 76148",ENE,MARJ770430FL6,aceros_elpanteraqoutlook.es,,4426145261,JAVIER HERNNDEZ RODRIGUEZ,,,COMERCIO,VENTA DE MATERIALES DE ACERO,,,,,,,,,,,,,afiliado,,,,,,,
26,,1,7/1/2026,8/1/2025,,PG-439,,14491,YOLANDA GARCIA JIMENEZ,,,$300.00,Efe,1,,JPEREZ,SIEM, ,$300.00,"PLATEROS #270, COL. PEÑUELAS. 76148",ENE,GAJY920523HM2,mclaminas.sureste@hotmail.com,,4427550595,YOLANDA GARCIA,,,COMERCIO,MADERERIA,,,,,,,,,,,,,afiliado,,,,,,,
27,,1,7/1/2026,8/1/2025,,AF-6156,,14488,JUVENAL DE JESUS ROGEL PEREZ,,,$300.00,Efe,,1,JPEREZ,SIEM, ,$300.00,"PLATEROS #205, COL. SAN PEDRITO PEÑUELAS. 76148",ENE,ROPJ800619CV8,rotec.climasyservicios@gmail.com,,4427146228,JUVENAL ROGEL,,,COMERCIO,VENTA DE ELECTRODOMESTICOS,,,,,,,,,,,,,afiliado,,,,,,,
28,,1,8/1/2026,9/1/2025,,PG-440,,14498,JESUS ALEJANDRO HERNANDEZ VIEIRA,,,$300.00,Efe,,1,JPEREZ,SIEM, ,$300.00,"FERNANDO DE TAPIA #35, COL. CENTRO",ENE,HEVJ930717G31,jes.he.v93@gmail.com,,4428477048,ALEJANDRO SANCHEZ,,,COMERCIO,,,,,,,,,,,,,,afiliado,,,,,,,
29,,1,8/1/2026,9/1/2025,,PG-440,,14499,JOSE DE JESUS AGUILAR CASTRO,,,$300.00,Efe,,1,JPEREZ,SIEM, ,$300.00,"ERCARNACION CABRERA #3, COL.CENTRO. 766000",ENE,AOCJ860108E21,tiendaescobedo@gmail.com,,4421573190,IVONNE FLORES,,,COMERCIO,VENTA DE PLASTICOS,,,,,,,,,,,,,afiliado,,,,,,,
30,,1,8/1/2026,9/1/2025,,PG-440,,14503,JULIO CESAR RAMOS GONZALEZ,,,$150.00,Efe,,1,JPEREZ,SIEM, ,$150.00,"PROL. TECNOLOGICO #38, COL.EL RETABLO. 76154",ENE,RAGJ930609,juanrms538@gmail.com,,4427955806,JULIO C RAMOS,,,COMERCIO,PIZZERIA,,,,,,,,,,,,,afiliado,,,,,,,
31,,12,13/2/2025,15/2/2024,,,,14439,JOSÉ JAIME CHANTES RODRIGUEZ,,,$740.00,Efe,,1,ARUIZ,SIEM, ,$740.00,"AV. CAMINO RAL 484-A, COL CAMINO REAL, 76903",ENE,,jimbososjjcr@gmail.com,,4422178830,JAIME CHANTES,,,SERVICIOS,CAFETERIA,,,"AV. CAMINO REAL 484-A, COL CAMINO REAL, 76903",,,,,,,,,,afiliado,,,,,,,
32,,1,5/1/2026,6/1/2025,,PG-435,,14535,DIEGO VÁZQUEZ GÓMEZ,,,"$2,800.00",Transf,,1,ARUIZ,MEMBRESIA,BASICA,"$2,800.00","CERRADA PINOT #1531 INT 36, COL LOS VIÑEDOS, QRO. 76177",ENE,,diego.industrial04@gmail.com,,4428166247,DIEGO VAZQUEZ,,,COMERCIO,MEZACALERIA,,,"CERRADA PINOT #1531 INT 36, COL LOS VIÑEDOS, QRO. 76177",,,,,,,,,,afiliado,,,,,,,
33,,12,19/12/2025,20/12/2024,,AF-6096,,12611,OMAR HUERTA MUNGUIA,,,$990.00,Transf,,1,ARUIZ,MEMBRESIA,MEMBRESIA SIEM,$990.00,"CALLE JOAQUIN HERRERA #57, COL EMILIO ZAPATA, 76900",ENE,,serviciosavante@outlook.com,,4423864515,MARTHA,,,SERVICIOS,SERVICIOS AUTOMOTRIZ,,,"CALLE JOAQUIN HERRERA #57, COL EMILIO ZAPATA, 76900",,,,,,,,,,afiliado,,,,,,,
34,,1,8/1/2026,9/1/2025,,PG-437,,14582,ABEL MEJIA CARDENAS,,,$300.00,Efe,1,,ARUIZ,SIEM, ,$300.00,"CALLE RIO QUERETARO # 217, MENCHACA II, QRO, 76147",ENE,MECA631020,abelmejiacar@gmail.com,,4462133004,ABEL MEJIA,,,COMERCIO,MISCELANEA,,,"CALLE RIO QUERETARO # 217, MENCHACA II, QRO, 76147",,,,,,,,,,afiliado,,,,,,,
35,,12,25/12/2025,26/12/2024,,PG-437,,1444,JUAN MANUEL OCHOA,,,$300.00,Efe,,1,ARUIZ,SIEM, ,$300.00,"AV PROL EL JACAL #990, SAN ANTONIO DE LA PUNTA, EL PUEBLITO",ENE,,,,4423691366,JAIME HERNANDEZ,,,COMERCIO,VENTA DE AUTOS,,,"AV PROL EL JACAL #990, SAN ANTONIO DE LA PUNTA, EL PUEBLITO",,,,,,,,,,afiliado,,,,,,,
36,,1,8/1/2026,9/1/2025,,PG-437,,14583,EDGAR MEJIA TOVAR,,,$300.00,Efe,1,,ARUIZ,SIEM, ,$300.00,"RIO YAQUI #217 COL MENCHACA II, QRO, QRO. 76147",ENE,METE890427,edgarmejiaemt@gmail.com,,4422163715,EDGAR MEJIA,,,COMERCIO,FERRETERIA,,,"RIO YAQUI #217 COL MENCHACA II, QRO, QRO. 76147",,,,,,,,,,afiliado,,,,,,,
37,,1,1/1/2026,2/1/2025,,AF-6119,,14516,LAURA ADRIANA RIOS CHAVEZ,,,"$2,850.00",Transf,,1,JPEREZ,MEMBRESIA,BASICA,"$2,850.00","PINO SUAREZ #326, COL. NIÑOS HEROES",ENE,,chiquilinesbar@hotmail.com,,4421309976,KARINA RIOS,,,COMERCIO,RESTAURANTE,,,,,,,,,,,,,afiliado,,,,,,,
38,,1,27/1/2026,28/1/2025,,PG-464,,14765,OPERADORA DE ALIMENTOS Y BEBIDAS ,,,$640.00,Transf,,1,JPEREZ,SIEM, ,$640.00,,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
39,,1,5/1/2026,6/1/2025,,AF-6120,,14415,REFACCIONARIA CALIFORNIA S.A DE C.V.,,,"$2,560.00",Transf,,1,LGONZALEZ,MEMBRESIA,BASICA,"$2,560.00",AV EJE 5 SUR PROL. MARCELINO BUENDIA 149 CHINAMPAC DE JUAREZ ,ENE,RCA801209MD8,cpr.gestor@corprama.com.mx,,5543583221/5525953007,LIC JUAN A. VERTIZ/ LIC CARLOS A.,,,COMERCIO,REFACCIONARIA ,,,,,,,,,,,,,afiliado,,,,,,,
40,,1,7/1/2026,8/1/2025,,AF-6131,,14590,ABARROTES ARTES SA ,,,"$1,900.00",Transf,1,,CANACO,MEMBRESIA,BASICA,"$1,900.00",,ENE,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
41,,1,6/1/2026,7/1/2025,,PG-434,,14525,FELIPE RODRIGUEZ PADILLA,,,"$1,950.00",Efe,1,,CANACO,MEMBRESIA,BASICA,"$1,950.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
42,,1,6/1/2026,7/1/2025,,AF-6111,,14538,HI TEC MEDICAL DE QUERETARO SA DE CV,,,"$2,990.00",Transf,1,,CANACO,MEMBRESIA,EMPRENDEDOR,"$2,990.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
1,,1,7/1/2026,8/1/2025,,AF-6144,,14315,DANELSS DESINGEN,,,"$5,000.00",Transf,1,,SITURBE,MEMBRESIA,PYME,"$5,000.00","TENOCHTITLAN S/N CUMBRES DE CONIN EL MARQUES QRO., 76246",ENE,,yuri.callejas@danells.com.mx,,4422774470,YURI CALLEJAS,,,SERVICIOS,EQUIPO PARA LA INDUSTRIA EN GENERAL ,,,"TENOCHTITLAN S/N CUMBRES DE CONIN EL MARQUES QRO., 76246",,,,,,,,,,afiliado,,,,,,,
2,,12,10/12/2025,11/12/2024,,AF-6033,,14302,ROBERTO GUILLEN CARDENAS,,,"$2,990.00",Transf,,1,SITURBE,MEMBRESIA,EMPRENDEDOR,"$2,990.00","AV DE LA LUZ 1678 LTE 45 MZA 2, CHULA VISTA, 76116",ENE,GUCR8311196C4,cercas.dequeretaro@hotmail.com,,4427158758,ERIKA MARTINEZ,,,SERVICIOS,SRVICIOS ESPECIALIZADOS,,,"AV DE LA LUZ 1678 LTE 45 MZA 2, CHULA VISTA, 76116",,,,,,,,,,afiliado,,,,,,,
3,,1,7/1/2026,8/1/2025,,AF-6150,,14314,LUDICOS Y EXTERIORES SA DE CV,,,"$3,800.00",Transf,1,,SITURBE,MEMBRESIA,EMPRENDEDOR,"$3,800.00","AUTOPISTA MÉX, QRO. KM 201.1, EJIDO LA CAÑADA, EL MARQUÉS",ENE,LAE1709145C4,mgonzalez@jogare.com,,4422774769,MARIBEL GONZÁLEZ,,,COMERCIO,FABRICANTES DE JUEGOS INFANTILES Y MOBILIARIO URBANO,,,"AUTOPISTA MÉX, QRO. KM 201.1, EJIDO LA CAÑADA, EL MARQUÉS",,,,,,,,,,afiliado,,,,,,,
4,,1,9/1/2026,10/1/2025,,AF-6167,,14661,JESUS EDUARDO ACEVEDO VALENCIA,,,"$1,850.00",Transf,,1,SITURBE,MEMBRESIA,BASICA,"$1,850.00","TONANTZIN #41, COL. DIAMANTE, CUMBRES DE CONIN, 76246",ENE,AEVJ800406TV8,powder.coat@hotmail.com,,4426239375,YURI CALLEJAS,,,SERVICIOS,EQUIPO PARA LA INDUSTRIA EN GENERAL ,,,"TONANTZIN #41, COL. DIAMANTE, CUMBRES DE CONIN, 76246",,,,,,,,,,afiliado,,,,,,,
5,,1,15/1/2026,16/1/2025,,,,14636,LIFEX DISTRIBUCION SAPI DE CV,,,"$1,850.00",TD,1,,SITURBE,MEMBRESIA,BASICA,"$1,850.00","BOULEVARD JURICA LA CAMPANA #914 15-16, FRACC RESIDENCIAL CALETTO",ENE,LDI191021HW1,rsordolemus@gmail.com,,4426047475,ROSALINDA SORDOLEMUS,,,COMERCIO,ARTICULOS PARA DEPORTES EXTREMOS,,,"BOULEVARD JURICA LA CAMPANA #914 15-16, FRACC RESIDENCIAL CALETTO",,,,,,,,,,afiliado,,,,,,,
6,,1,12/1/2026,13/1/2025,,AF-6225,,14657,JOSE FRANCISCO RODRIGUEZ GONZALEZ,,,"$2,000.00",Transf,,1,SITURBE,MEMBRESIA,BASICA,"$2,000.00","PRIV IGNACIO ZARAGOZA 16 TORRE 2, CONSULTORIO 503",ENE,ROGF850131LY5,pprodriguez@hotmail.com,,4427124175,JOSE RODRIGUEZ,,,SERVICIOS,SERVICOS MEDICOS ,,,"PRIV IGNACIO ZARAGOZA 16 TORRE 2, CONSULTORIO 503",,,,,,,,,,afiliado,,,,,,,
7,,1,15/1/2026,16/1/2025,,,,14652,FERNANDO SABINO BARINAGAR REMENTERIA,,,$300.00,Efe,,1,SITURBE,SIEM, ,$300.00,"CERRADA IGNACIO ZARAGOZA #16H INT 606 CENTRO, 76000",ENE,BAAF570405T28,asistenteconsultoriofba@gmail.com,,4422154543,FERNANDO SABINO,,,SERVICIOS,SERVICIOS MEDICOS,,,"CERRADA IGNACIO ZARAGOZA #16H INT 606 CENTRO, 76000",,,,,,,,,,afiliado,,,,,,,
8,,12,30/11/2025,1/12/2024,,AF-6126,,14435,IMPORTADORA DE FILTROS,,,"$5,800.00",Transf,1,,ARUIZ,MEMBRESIA,PYME,"$5,800.00","AV. LAZARO CARDENAS #2225, 2C VALLE OTE PEDRO GARCIA GARCIA, 66269, ",ENE,IFI9203263K3,queretaro@imporfil.com,,4428641164,GABRIEL PEREZ,,,SERVICIOS,VENTA DE LUBRICANTES,,,"VIDRIERA QUERETARO #16, EL PUEBLITO, 76900",,,,,,,,,,afiliado,,,,,,,
9,,12,30/11/2025,1/12/2024,,AF-6072,,14292,LORANI RODRIGUEZ MORENO,,,$670.00,Transf,1,,ARUIZ,SIEM, ,$670.00,"VALLE GRANDE #101, VALLE DE ARAGON, 1A SECC NEZA, 57100",ENE,ROML790912214,,,4427049539,LORANI,,,SERVICIOS,GIMNASIO,,,"AV BLVD MEDITERRANEO #218, MEDITERRANEO CORREGIDORA, 76908",,,,,,,,,,afiliado,,,,,,,
10,,1,8/1/2026,9/1/2025,,AF-6164,,14585,NUTRICION TECNICA ANIMALS SA DE CV,,,"$2,400.00",Transf,1,,ARUIZ,MEMBRESIA,BASICA,"$2,400.00","DON JOSÉ #15 FRACC. IND BALVANERA, CORREGIDORA, QRO.",ENE,,compras@nta.com.mx,,4421956425,EDUARDO ROQ.,,,COMERCIO,VENTA DE ALIMENTOS PARA ANIMALES DE GRANJA,,,"DON JOSÉ #15 FRACC. IND BALVANERA, CORREGIDORA, QRO.",,,,,,,,,,afiliado,,,,,,,
